,0,1,2,3,4,5,6,7,8,9,10
0,238577, 189730, 212616, 209729, 246565, 233090, 8631, 216047, 196143, 247728,238577
1,227675, 177793, 199511, 204387, 199964, 244727, 176619, 169181, 207734, 211840,227675
2,199522, 225810, 227740, 243139, 229771, 183475, 198970, 170084, 180403, 240904,199522
3,223953, 222399, 231307, 196143, 212814, 244794, 208335, 173305, 160179, 142721,223953
4,53110, 229137, 213887, 179891, 228595, 211736, 243305, 228886, 212000, 233276,53110
5,243122, 199890, 173673, 236692, 239028, 187072, 201891, 187570, 209423, 158133,243122
6,161636, 199840, 239970, 247108, 251082, 230086, 201978, 220209, 236446, 192170,161636
7,230328, 219937, 225482, 202123, 236846, 225694, 214722, 199254, 239475, 209491,230328
8,200275, 210028, 139860, 239170, 198347, 222734, 215615, 221985, 166928, 245774,200275
9,183574, 235706, 230847, 170481, 222456, 252852, 157515, 204690, 168883, 226106,183574
10,235381, 246593, 244200, 199235, 233445, 225589, 251386, 228611, 149791, 199827,235381
11,232183, 215325, 247046, 228836, 229594, 244466, 235633, 210488, 180746, 231025,232183
12,156423, 169590, 217050, 169644, 247707, 216468, 245230, 204247, 182094, 230757,156423
13,198177, 223627, 219095, 190636, 245860, 208892, 160089, 233276, 177877, 231046,198177
14,248716, 244028, 239401, 223208, 213954, 223105, 220815, 220407, 228415, 232171,248716
15,230435, 233398, 207952, 252807, 214986, 197839, 227941, 172851, 192789, 159579,230435
16,235239, 229881, 220087, 210303, 222226, 241215, 231172, 168607, 201409, 239504,235239
17,242515, 202050, 230530, 158167, 202940, 216790, 243741, 184480, 214907, 232843,242515
18,236701, 237575, 212532, 182043, 193073, 216524, 206511, 226576, 209675, 228212,236701
19,242348, 164082, 242637, 204236, 244350, 245152, 241992, 231228, 205726, 207995,242348
20,186695, 184352, 214376, 200535, 247093, 205086, 239857, 206200, 226116, 237155,186695
21,252853, 190201, 211228, 138110, 242637, 203145, 230354, 181521, 198135, 244589,252853
22,244482, 230264, 244634, 222352, 177666, 238372, 172179, 171019, 228144, 223908,244482
23,237541, 214114, 236856, 173891, 244326, 231077, 211600, 110974, 202532, 190021,237541
24,244498, 225001, 175851, 193939, 214594, 192789, 158937, 239053, 192593, 238235,244498
25,239696, 193073, 230700, 193932, 224378, 201262, 205193, 190530, 231226, 191861,239696
26,226698, 225210, 226414, 212622, 234787, 244828, 240850, 232175, 251317, 227880,226698
27,244660, 234832, 231323, 232120, 243758, 173815, 198689, 219482, 240476, 219163,244660
